url	download_complete
www.ics.uci.edu/ugrad	complete
emj.ics.uci.edu/feed	incomplete
www.ics.uci.edu/computing/services/msoffice.php	complete
www.ics.uci.edu/about/bren/gallery/gallery_11_jpg.php	complete
www.ics.uci.edu/computing/contact/staff.php	complete
ngs.ics.uci.edu	complete
isg.ics.uci.edu/courses.html	complete
www.ics.uci.edu/computing/linux/modules.php	complete
sconce.ics.uci.edu	complete
www.ics.uci.edu/ugrad/index.php	complete
www.ics.uci.edu/involved/leadership_council	complete
emj.ics.uci.edu/teaching	complete
emj.ics.uci.edu/papers/vision-and-image-analysis-papers	complete
www.ics.uci.edu/about/bren/bren_about.php	complete
isg.ics.uci.edu/events.html	complete
www.ics.uci.edu/about/bren/gallery/gallery_07_jpg.php	complete
www.ics.uci.edu/about/bren/gallery/gallery_06_jpg.php	complete
www.ics.uci.edu/about/bren/gallery/gallery_14_jpg.php	complete
ngs.ics.uci.edu/teaching/current-courses	complete
emj.ics.uci.edu/talks/talks-computational-biology	complete
elms.ics.uci.edu	complete
www.ics.uci.edu/~mjcarey/MJCarey_Patents.html	incomplete
www.ics.uci.edu/computing/services/microsoft_imagine.php	complete
www.ics.uci.edu/computerscience/grad	incomplete
www.ics.uci.edu/grad/policies/GradPolicies_Grading.php	complete
www.ics.uci.edu/grad/policies/GradPolicies_CAResidency.php	complete
ugradforms.ics.uci.edu	complete
www.ics.uci.edu/about/about_safety.php	complete
ngs.ics.uci.edu/research/research-papers/experiential-computing	incomplete
ngs.ics.uci.edu/entrepreneurship/past-companies	incomplete
www.ics.uci.edu/computing/account/faqs.php	complete
swiki.ics.uci.edu/doku.php/projects:maint-winter-2018	complete
swiki.ics.uci.edu/doku.php/brownbags	complete
www.ics.uci.edu/~stasio	incomplete
ngs.ics.uci.edu/professionalsocial	incomplete
www.ics.uci.edu/computing/account/mapdrive_win.php	complete
emj.ics.uci.edu/papers/calculational-papers	incomplete
www.ics.uci.edu/~mjcarey/MJCarey_Professional_Activities.html	incomplete
www.ics.uci.edu/ugrad/degrees/Minors	complete
mhcid.ics.uci.edu/admissions/online-information-sessions	complete
www.ics.uci.edu/ugrad/resources/index.php	complete
www.ics.uci.edu/~mjcarey/MJCarey_Honors.html	incomplete
www.ics.uci.edu/~redmiles/links.html	incomplete
www.ics.uci.edu/faculty/area/area_os.php	incomplete
www.ics.uci.edu/grad/policies/GradPolicies_GradStudentReview.php	incomplete
emj.ics.uci.edu/topics	incomplete
www.ics.uci.edu/faculty/area/area_algorithms.php	incomplete
www.ics.uci.edu/~redmiles/contact-info.html	incomplete
cert.ics.uci.edu/partnerships.html	complete
www.ics.uci.edu/computing/services/restore.php	incomplete
www.ics.uci.edu/about/bren/gallery/gallery_04_jpg.php	incomplete
www.ics.uci.edu/computing/services/snapshot.php	incomplete
www.ics.uci.edu/computing/linux/hosts.php	incomplete
www.ics.uci.edu/faculty/area/area_ubi.php	incomplete
www.ics.uci.edu/grad/funding	incomplete
www.ics.uci.edu/ugrad/policies/Laptop_ComputerUse.php	incomplete
www.ics.uci.edu/ugrad/sao/index.php	incomplete
ngs.ics.uci.edu/teacher	incomplete
